pfam_accession	pfam_version	pfam_name	pfam_short_name	pfam_description	theme_id	theme	subcategory_id	subcategory	hmm_name	hmm_file	hmm_length	n_seed_sequences	effn	source
PF00969	PF00969.25	MHC_II_beta	Class II histocompatibility antigen, beta domain		03_endocrine	Endocrine and neuroendocrine	03.1_gpcrs	GPCRs all classes	MHC_II_beta_REV	hmm/per_domain/MHC_II_beta_REVISION.hmm	73	100	2.352905	TIAMMAt mollusc-revised
PF07562	PF07562.21	NCD3G	Nine Cysteines Domain of family 3 GPCR		03_endocrine	Endocrine and neuroendocrine	03.1_gpcrs	GPCRs all classes	NCD3G_REV	hmm/per_domain/NCD3G_REVISION.hmm	52	1149	6.114407	TIAMMAt mollusc-revised
PF02101	PF02101.22	Ocular_alb	Ocular albinism type 1 protein		03_endocrine	Endocrine and neuroendocrine	03.1_gpcrs	GPCRs all classes	Ocular_alb_REV	hmm/per_domain/Ocular_alb_REVISION.hmm	402	141	5.434662	TIAMMAt mollusc-revised
PF10413	PF10413.15	Rhodopsin_N	Amino terminal of the G-protein receptor rhodopsin		03_endocrine	Endocrine and neuroendocrine	03.1_gpcrs	GPCRs all classes	Rhodopsin_N_REV	hmm/per_domain/Rhodopsin_N_REVISION.hmm	36	5	1.225586	TIAMMAt mollusc-revised
PF05662	PF05662.20	YadA_stalk	Coiled stalk of trimeric autotransporter adhesin		03_endocrine	Endocrine and neuroendocrine	03.1_gpcrs	GPCRs all classes	YadA_stalk_REV	hmm/per_domain/YadA_stalk_REVISION.hmm	41	88	22.921143	TIAMMAt mollusc-revised
PF02155	PF02155.21	GCR	Glucocorticoid receptor		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	GCR_REV	hmm/per_domain/GCR_REVISION.hmm	373	16	1.175781	TIAMMAt mollusc-revised
PF00104	PF00104.36	Hormone_recep	Ligand-binding domain of nuclear hormone receptor		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	Hormone_recep_REV	hmm/per_domain/Hormone_recep_REVISION.hmm	194	8172	14.873755	TIAMMAt mollusc-revised
PF20810	PF20810.3	MINT_RID	Msx2-interacting protein, nuclear receptor-interacting domain		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	MINT_RID_REV	hmm/per_domain/MINT_RID_REVISION.hmm	239	17	1.216064	TIAMMAt mollusc-revised
PF20885	PF20885.3	NPB13-l_MII_rpt	Nuclear pore complex-interacting protein B13-like, MII repeat		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NPB13-l_MII_rpt_REV	hmm/per_domain/NPB13-l_MII_rpt_REVISION.hmm	176	138	26.847839	TIAMMAt mollusc-revised
PF06409	PF06409.17	NPIP	Nuclear pore complex interacting protein (NPIP)		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NPIP_REV	hmm/per_domain/NPIP_REVISION.hmm	210	48	2.077148	TIAMMAt mollusc-revised
PF15687	PF15687.11	NRIP1_repr_1	Nuclear receptor-interacting protein 1 repression 1		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NRIP1_repr_1_REV	hmm/per_domain/NRIP1_repr_1_REVISION.hmm	304	13	1.247314	TIAMMAt mollusc-revised
PF15688	PF15688.11	NRIP1_repr_2	Nuclear receptor-interacting protein 1 repression 2		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NRIP1_repr_2_REV	hmm/per_domain/NRIP1_repr_2_REVISION.hmm	328	14	1.397949	TIAMMAt mollusc-revised
PF15689	PF15689.11	NRIP1_repr_3	Nuclear receptor-interacting protein 1 repression 3		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NRIP1_repr_3_REV	hmm/per_domain/NRIP1_repr_3_REVISION.hmm	88	12	1.157227	TIAMMAt mollusc-revised
PF15690	PF15690.11	NRIP1_repr_4	Nuclear receptor-interacting protein 1 repression 4		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	NRIP1_repr_4_REV	hmm/per_domain/NRIP1_repr_4_REVISION.hmm	312	12	1.532227	TIAMMAt mollusc-revised
PF11825	PF11825.14	Nuc_recep-AF1	Nuclear/hormone receptor activator site AF-1		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	Nuc_recep-AF1_REV	hmm/per_domain/Nuc_recep-AF1_REVISION.hmm	113	37	2.262817	TIAMMAt mollusc-revised
PF15319	PF15319.12	RHINO	RAD9, RAD1, HUS1-interacting nuclear orphan protein		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	RHINO_REV	hmm/per_domain/RHINO_REVISION.hmm	241	192	6.096680	TIAMMAt mollusc-revised
PF14973	PF14973.12	TINF2_N	TERF1-interacting nuclear factor 2 N-terminus		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	TINF2_N_REV	hmm/per_domain/TINF2_N_REVISION.hmm	143	180	3.864441	TIAMMAt mollusc-revised
PF00105	PF00105.25	zf-C4	Double treble clef zinc finger, C4 type		03_endocrine	Endocrine and neuroendocrine	03.2_nhrs	Nuclear hormone receptors	zf-C4_REV	hmm/per_domain/zf-C4_REVISION.hmm	70	7962	3.359971	TIAMMAt mollusc-revised
PF05953	PF05953.18	Allatostatin	Allatostatin		03_endocrine	Endocrine and neuroendocrine	03.3_neuropeptides	Neuropeptide precursors	Allatostatin_REV	hmm/per_domain/Allatostatin_REVISION.hmm	11	2	2.000000	TIAMMAt mollusc-revised
PF02323	PF02323.21	ELH	Egg-laying hormone precursor		03_endocrine	Endocrine and neuroendocrine	03.3_neuropeptides	Neuropeptide precursors	ELH_REV	hmm/per_domain/ELH_REVISION.hmm	254	159	8.564301	TIAMMAt mollusc-revised
PF01160	PF01160.24	Opiods_neuropep	Vertebrate endogenous opioids neuropeptide		03_endocrine	Endocrine and neuroendocrine	03.3_neuropeptides	Neuropeptide precursors	Opiods_neuropep_REV	hmm/per_domain/Opiods_neuropep_REVISION.hmm	47	40	3.930664	TIAMMAt mollusc-revised
PF02117	PF02117.23	7TM_GPCR_Sra	Serpentine type 7TM GPCR chemoreceptor Sra		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	7TM_GPCR_Sra_REV	hmm/per_domain/7TM_GPCR_Sra_REVISION.hmm	328	15	1.951904	TIAMMAt mollusc-revised
PF02175	PF02175.23	7TM_GPCR_Srb	Serpentine type 7TM GPCR chemoreceptor Srb		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	7TM_GPCR_Srb_REV	hmm/per_domain/7TM_GPCR_Srb_REVISION.hmm	238	2	0.449219	TIAMMAt mollusc-revised
PF01413	PF01413.26	C4	C-terminal tandem repeated domain in type 4 procollagen		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	C4_REV	hmm/per_domain/C4_REVISION.hmm	108	1546	1.772205	TIAMMAt mollusc-revised
PF00194	PF00194.27	Carb_anhydrase	Eukaryotic-type carbonic anhydrase		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Carb_anhydrase_REV	hmm/per_domain/Carb_anhydrase_REVISION.hmm	252	4808	5.561928	TIAMMAt mollusc-revised
PF13620	PF13620.13	CarboxypepD_reg	Carboxypeptidase regulatory-like domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	CarboxypepD_reg_REV	hmm/per_domain/CarboxypepD_reg_REVISION.hmm	78	2076	12.936195	TIAMMAt mollusc-revised
PF01082	PF01082.26	Cu2_monooxygen	Copper type II ascorbate-dependent monooxygenase, N-terminal domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Cu2_monooxygen_REV	hmm/per_domain/Cu2_monooxygen_REVISION.hmm	123	3303	5.572326	TIAMMAt mollusc-revised
PF05890	PF05890.18	Ebp2	Eukaryotic rRNA processing protein EBP2		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Ebp2_REV	hmm/per_domain/Ebp2_REVISION.hmm	246	525	3.648949	TIAMMAt mollusc-revised
PF00039	PF00039.25	fn1	Fibronectin type I domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	fn1_REV	hmm/per_domain/fn1_REVISION.hmm	40	394	7.012955	TIAMMAt mollusc-revised
PF00040	PF00040.25	fn2	Fibronectin type II domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	fn2_REV	hmm/per_domain/fn2_REVISION.hmm	41	719	8.373669	TIAMMAt mollusc-revised
PF00757	PF00757.26	Furin-like	Furin-like cysteine rich region		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Furin-like_REV	hmm/per_domain/Furin-like_REVISION.hmm	153	1085	3.480854	TIAMMAt mollusc-revised
PF01483	PF01483.28	P_proprotein	Proprotein convertase P-domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	P_proprotein_REV	hmm/per_domain/P_proprotein_REVISION.hmm	87	1942	4.315243	TIAMMAt mollusc-revised
PF00246	PF00246.30	Peptidase_M14	Zinc carboxypeptidase		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Peptidase_M14_REV	hmm/per_domain/Peptidase_M14_REVISION.hmm	279	4519	9.580361	TIAMMAt mollusc-revised
PF00082	PF00082.28	Peptidase_S8	Subtilase family		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Peptidase_S8_REV	hmm/per_domain/Peptidase_S8_REVISION.hmm	275	3651	10.351584	TIAMMAt mollusc-revised
PF12177	PF12177.14	Proho_convert	Prohormone convertase enzyme		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	Proho_convert_REV	hmm/per_domain/Proho_convert_REVISION.hmm	39	8	1.777344	TIAMMAt mollusc-revised
PF16470	PF16470.11	S8_pro-domain	Peptidase S8 pro-domain		03_endocrine	Endocrine and neuroendocrine	03.4_processing_enzymes	Neuropeptide processing	S8_pro-domain_REV	hmm/per_domain/S8_pro-domain_REVISION.hmm	77	1458	5.303204	TIAMMAt mollusc-revised
PF20452	PF20452.4	Calmod_bind_C	Calmodulin binding protein C-terminal domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Calmod_bind_C_REV	hmm/per_domain/Calmod_bind_C_REVISION.hmm	62	64	7.402344	TIAMMAt mollusc-revised
PF20451	PF20451.4	Calmod_bind_M	Calmodulin binding protein central domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Calmod_bind_M_REV	hmm/per_domain/Calmod_bind_M_REVISION.hmm	66	64	2.113281	TIAMMAt mollusc-revised
PF07887	PF07887.17	Calmodulin_bind	Calmodulin binding protein-like N-terminal domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Calmodulin_bind_REV	hmm/per_domain/Calmodulin_bind_REVISION.hmm	147	68	1.830322	TIAMMAt mollusc-revised
PF01067	PF01067.29	Calpain_III	Calpain large subunit, domain III		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Calpain_III_REV	hmm/per_domain/Calpain_III_REVISION.hmm	133	3417	5.223704	TIAMMAt mollusc-revised
PF10562	PF10562.15	CaM_bdg_C0	Calmodulin-binding domain C0 of NMDA receptor NR1 subunit		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	CaM_bdg_C0_REV	hmm/per_domain/CaM_bdg_C0_REVISION.hmm	29	263	5.052444	TIAMMAt mollusc-revised
PF07839	PF07839.17	CaM_binding	Plant calmodulin-binding domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	CaM_binding_REV	hmm/per_domain/CaM_binding_REVISION.hmm	113	49	2.820251	TIAMMAt mollusc-revised
PF02888	PF02888.22	CaMBD	Calmodulin binding domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	CaMBD_REV	hmm/per_domain/CaMBD_REVISION.hmm	73	475	5.149651	TIAMMAt mollusc-revised
PF17095	PF17095.11	CAMSAP_CC1	Spectrin-binding region of Ca2+-Calmodulin		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	CAMSAP_CC1_REV	hmm/per_domain/CAMSAP_CC1_REVISION.hmm	54	345	5.140572	TIAMMAt mollusc-revised
PF08683	PF08683.17	CAMSAP_CKK	Microtubule-binding calmodulin-regulated spectrin-associated		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	CAMSAP_CKK_REV	hmm/per_domain/CAMSAP_CKK_REVISION.hmm	119	370	1.205368	TIAMMAt mollusc-revised
PF01068	PF01068.27	DNA_ligase_A_M	ATP dependent DNA ligase domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	DNA_ligase_A_M_REV	hmm/per_domain/DNA_ligase_A_M_REVISION.hmm	202	1122	3.993324	TIAMMAt mollusc-revised
PF00036	PF00036.39	EF-hand_1	EF hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_1_REV	hmm/per_domain/EF-hand_1_REVISION.hmm	26	7286	7286.000000	TIAMMAt mollusc-revised
PF14788	PF14788.13	EF-hand_10	EF hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_10_REV	hmm/per_domain/EF-hand_10_REVISION.hmm	50	13	3.500732	TIAMMAt mollusc-revised
PF08976	PF08976.18	EF-hand_11	EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_11_REV	hmm/per_domain/EF-hand_11_REVISION.hmm	82	513	6.070427	TIAMMAt mollusc-revised
PF17901	PF17901.9	EF-hand_12	EF-hand fold domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_12_REV	hmm/per_domain/EF-hand_12_REVISION.hmm	93	39	1.842407	TIAMMAt mollusc-revised
PF17958	PF17958.8	EF-hand_13	EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_13_REV	hmm/per_domain/EF-hand_13_REVISION.hmm	90	505	2.608376	TIAMMAt mollusc-revised
PF17959	PF17959.8	EF-hand_14	EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_14_REV	hmm/per_domain/EF-hand_14_REVISION.hmm	88	209	2.343979	TIAMMAt mollusc-revised
PF23617	PF23617.2	EF-hand_15	EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_15_REV	hmm/per_domain/EF-hand_15_REVISION.hmm	70	109	4.607086	TIAMMAt mollusc-revised
PF09068	PF09068.18	EF-hand_2	EF hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_2_REV	hmm/per_domain/EF-hand_2_REVISION.hmm	121	794	2.492760	TIAMMAt mollusc-revised
PF09069	PF09069.18	EF-hand_3	EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_3_REV	hmm/per_domain/EF-hand_3_REVISION.hmm	91	757	2.001194	TIAMMAt mollusc-revised
PF13202	PF13202.13	EF-hand_5	EF hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_5_REV	hmm/per_domain/EF-hand_5_REVISION.hmm	21	2386	2386.000000	TIAMMAt mollusc-revised
PF13405	PF13405.13	EF-hand_6	EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_6_REV	hmm/per_domain/EF-hand_6_REVISION.hmm	29	4468	4468.000000	TIAMMAt mollusc-revised
PF13499	PF13499.13	EF-hand_7	EF-hand domain pair		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_7_REV	hmm/per_domain/EF-hand_7_REVISION.hmm	65	62040	27.153475	TIAMMAt mollusc-revised
PF13833	PF13833.13	EF-hand_8	EF-hand domain pair		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_8_REV	hmm/per_domain/EF-hand_8_REVISION.hmm	52	1747	40.408836	TIAMMAt mollusc-revised
PF14658	PF14658.13	EF-hand_9	EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_9_REV	hmm/per_domain/EF-hand_9_REVISION.hmm	62	208	10.260986	TIAMMAt mollusc-revised
PF25325	PF25325.2	EF-hand_EFHB_C	EFHB C-terminal EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_EFHB_C_REV	hmm/per_domain/EF-hand_EFHB_C_REVISION.hmm	72	337	6.353203	TIAMMAt mollusc-revised
PF23564	PF23564.2	EF-hand_FSTL1	Follistatin-related protein 1, EF-hand domain pair		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_FSTL1_REV	hmm/per_domain/EF-hand_FSTL1_REVISION.hmm	120	227	4.118393	TIAMMAt mollusc-revised
PF09279	PF09279.18	EF-hand_like	Phosphoinositide-specific phospholipase C, efhand-like		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_like_REV	hmm/per_domain/EF-hand_like_REVISION.hmm	86	715	3.466663	TIAMMAt mollusc-revised
PF25578	PF25578.2	EF-hand_STIM1	Stromal interaction molecule 1-like, EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_STIM1_REV	hmm/per_domain/EF-hand_STIM1_REVISION.hmm	77	415	1.643257	TIAMMAt mollusc-revised
PF25530	PF25530.2	EF-hand_SWAP70_N	Switch-associated protein 70-like, N-terminal EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_SWAP70_N_REV	hmm/per_domain/EF-hand_SWAP70_N_REVISION.hmm	89	264	3.307251	TIAMMAt mollusc-revised
PF21116	PF21116.4	EF-hand_Zip	Zip protein EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF-hand_Zip_REV	hmm/per_domain/EF-hand_Zip_REVISION.hmm	110	398	4.059799	TIAMMAt mollusc-revised
PF24548	PF24548.2	EF_EFCAB10_C	EFCAB10, C-terminal EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF_EFCAB10_C_REV	hmm/per_domain/EF_EFCAB10_C_REVISION.hmm	59	331	6.118874	TIAMMAt mollusc-revised
PF23329	PF23329.4	EF_HAND_1_PLCG	PLCG EF-hand motif 1		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF_HAND_1_PLCG_REV	hmm/per_domain/EF_HAND_1_PLCG_REVISION.hmm	75	262	2.826447	TIAMMAt mollusc-revised
PF23583	PF23583.3	EF_HAND_2_PLCG	PLCG EF-hand motif 2		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF_HAND_2_PLCG_REV	hmm/per_domain/EF_HAND_2_PLCG_REVISION.hmm	68	491	5.413017	TIAMMAt mollusc-revised
PF27858	PF27858.1	EF_TTLL11	Tubulin polyglutamylase TTLL11, EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	EF_TTLL11_REV	hmm/per_domain/EF_TTLL11_REVISION.hmm	123	196	2.431458	TIAMMAt mollusc-revised
PF13864	PF13864.12	Enkurin	Calmodulin-binding		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Enkurin_REV	hmm/per_domain/Enkurin_REVISION.hmm	96	629	3.872704	TIAMMAt mollusc-revised
PF00810	PF00810.24	ER_lumen_recept	ER lumen protein retaining receptor		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	ER_lumen_recept_REV	hmm/per_domain/ER_lumen_recept_REVISION.hmm	142	892	4.059433	TIAMMAt mollusc-revised
PF22592	PF22592.3	FCaBP_EF-hand	FCaBP EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	FCaBP_EF-hand_REV	hmm/per_domain/FCaBP_EF-hand_REVISION.hmm	90	92	2.422974	TIAMMAt mollusc-revised
PF22350	PF22350.3	Int_EF-hand	Internalin, EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Int_EF-hand_REV	hmm/per_domain/Int_EF-hand_REVISION.hmm	37	2	1.636719	TIAMMAt mollusc-revised
PF02149	PF02149.26	KA1	Kinase associated domain 1		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	KA1_REV	hmm/per_domain/KA1_REVISION.hmm	44	1026	14.524406	TIAMMAt mollusc-revised
PF21161	PF21161.4	P2R3B_EF-hand	P2R3B, EF-hand		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	P2R3B_EF-hand_REV	hmm/per_domain/P2R3B_EF-hand_REVISION.hmm	59	308	2.739929	TIAMMAt mollusc-revised
PF00648	PF00648.28	Peptidase_C2	Calpain family cysteine protease		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	Peptidase_C2_REV	hmm/per_domain/Peptidase_C2_REVISION.hmm	296	4679	5.760755	TIAMMAt mollusc-revised
PF22631	PF22631.3	PLCB1-4-like_EFh	Phosphoinositide phospholipase C beta1-4-like EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	PLCB1-4-like_EFh_REV	hmm/per_domain/PLCB1-4-like_EFh_REVISION.hmm	72	506	2.080795	TIAMMAt mollusc-revised
PF06459	PF06459.18	RR_TM4-6	Ryanodine Receptor TM 4-6		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	RR_TM4-6_REV	hmm/per_domain/RR_TM4-6_REVISION.hmm	272	306	3.982819	TIAMMAt mollusc-revised
PF25825	PF25825.2	SAPC2_N	SAPC2 EF-hand like N-terminal domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	SAPC2_N_REV	hmm/per_domain/SAPC2_N_REVISION.hmm	78	185	1.617508	TIAMMAt mollusc-revised
PF26375	PF26375.1	SidJ_CaM_N	SidJ calmodulin-dependent glutamylase N-terminal domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	SidJ_CaM_N_REV	hmm/per_domain/SidJ_CaM_N_REVISION.hmm	182	5	0.903320	TIAMMAt mollusc-revised
PF19914	PF19914.6	WEF-hand	Wolframin EF-hand domain		04_signaling	Intracellular signaling pathways	04.10_calcium	Calcium signaling	WEF-hand_REV	hmm/per_domain/WEF-hand_REVISION.hmm	82	52	3.113525	TIAMMAt mollusc-revised
PF00667	PF00667.27	FAD_binding_1	FAD binding domain		04_signaling	Intracellular signaling pathways	04.11_no	Nitric oxide signaling	FAD_binding_1_REV	hmm/per_domain/FAD_binding_1_REVISION.hmm	219	1468	5.025978	TIAMMAt mollusc-revised
PF00258	PF00258.31	Flavodoxin_1	Flavodoxin		04_signaling	Intracellular signaling pathways	04.11_no	Nitric oxide signaling	Flavodoxin_1_REV	hmm/per_domain/Flavodoxin_1_REVISION.hmm	142	1553	6.093065	TIAMMAt mollusc-revised
PF07700	PF07700.21	HNOB	Haem-NO-binding		04_signaling	Intracellular signaling pathways	04.11_no	Nitric oxide signaling	HNOB_REV	hmm/per_domain/HNOB_REVISION.hmm	162	842	4.853294	TIAMMAt mollusc-revised
PF07701	PF07701.21	HNOBA	Heme NO binding associated		04_signaling	Intracellular signaling pathways	04.11_no	Nitric oxide signaling	HNOBA_REV	hmm/per_domain/HNOBA_REVISION.hmm	200	2272	5.507874	TIAMMAt mollusc-revised
PF00175	PF00175.27	NAD_binding_1	Oxidoreductase NAD-binding domain		04_signaling	Intracellular signaling pathways	04.11_no	Nitric oxide signaling	NAD_binding_1_REV	hmm/per_domain/NAD_binding_1_REVISION.hmm	111	2896	6.084335	TIAMMAt mollusc-revised
PF10469	PF10469.16	AKAP7_NLS	AKAP7 2'5' RNA ligase-like domain		04_signaling	Intracellular signaling pathways	04.12_camp_cgmp	cAMP cGMP signaling	AKAP7_NLS_REV	hmm/per_domain/AKAP7_NLS_REVISION.hmm	201	1027	4.877529	TIAMMAt mollusc-revised
PF00211	PF00211.26	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain		04_signaling	Intracellular signaling pathways	04.12_camp_cgmp	cAMP cGMP signaling	Guanylate_cyc_REV	hmm/per_domain/Guanylate_cyc_REVISION.hmm	185	6085	7.105906	TIAMMAt mollusc-revised
PF00454	PF00454.34	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase		04_signaling	Intracellular signaling pathways	04.12_camp_cgmp	cAMP cGMP signaling	PI3_PI4_kinase_REV	hmm/per_domain/PI3_PI4_kinase_REVISION.hmm	235	3746	9.684950	TIAMMAt mollusc-revised
PF15898	PF15898.11	PRKG1_interact	cGMP-dependent protein kinase interacting domain		04_signaling	Intracellular signaling pathways	04.12_camp_cgmp	cAMP cGMP signaling	PRKG1_interact_REV	hmm/per_domain/PRKG1_interact_REVISION.hmm	101	604	3.304047	TIAMMAt mollusc-revised
PF05422	PF05422.18	SIN1	Stress-activated map kinase interacting protein 1 (SIN1)		04_signaling	Intracellular signaling pathways	04.12_camp_cgmp	cAMP cGMP signaling	SIN1_REV	hmm/per_domain/SIN1_REVISION.hmm	125	244	2.654602	TIAMMAt mollusc-revised
PF02872	PF02872.24	5_nucleotid_C	5'-nucleotidase, C-terminal domain		04_signaling	Intracellular signaling pathways	04.13_purinergic	Purinergic signaling	5_nucleotid_C_REV	hmm/per_domain/5_nucleotid_C_REVISION.hmm	170	850	5.489540	TIAMMAt mollusc-revised
PF01553	PF01553.27	Acyltransferase	Acyltransferase		04_signaling	Intracellular signaling pathways	04.13_purinergic	Purinergic signaling	Acyltransferase_REV	hmm/per_domain/Acyltransferase_REVISION.hmm	133	3223	9.236445	TIAMMAt mollusc-revised
PF02560	PF02560.20	Cyanate_lyase	Cyanate lyase C-terminal domain		04_signaling	Intracellular signaling pathways	04.13_purinergic	Purinergic signaling	Cyanate_lyase_REV	hmm/per_domain/Cyanate_lyase_REVISION.hmm	67	75	1.451111	TIAMMAt mollusc-revised
PF01150	PF01150.24	GDA1_CD39	GDA1/CD39 (nucleoside phosphatase) family		04_signaling	Intracellular signaling pathways	04.13_purinergic	Purinergic signaling	GDA1_CD39_REV	hmm/per_domain/GDA1_CD39_REVISION.hmm	413	1627	7.308168	TIAMMAt mollusc-revised
PF20478	PF20478.4	P2RX7_C	P2X purinoreceptor 7 intracellular domain		04_signaling	Intracellular signaling pathways	04.13_purinergic	Purinergic signaling	P2RX7_C_REV	hmm/per_domain/P2RX7_C_REVISION.hmm	189	1108	8.930984	TIAMMAt mollusc-revised
PF09127	PF09127.18	Leuk-A4-hydro_C	Leukotriene A4 hydrolase, C-terminal		04_signaling	Intracellular signaling pathways	04.14_eicosanoid	Eicosanoid signaling	Leuk-A4-hydro_C_REV	hmm/per_domain/Leuk-A4-hydro_C_REVISION.hmm	114	848	3.613342	TIAMMAt mollusc-revised
PF00305	PF00305.25	Lipoxygenase	Lipoxygenase		04_signaling	Intracellular signaling pathways	04.14_eicosanoid	Eicosanoid signaling	Lipoxygenase_REV	hmm/per_domain/Lipoxygenase_REVISION.hmm	638	1495	7.610617	TIAMMAt mollusc-revised
PF01124	PF01124.24	MAPEG	MAPEG family		04_signaling	Intracellular signaling pathways	04.14_eicosanoid	Eicosanoid signaling	MAPEG_REV	hmm/per_domain/MAPEG_REVISION.hmm	126	1985	9.658308	TIAMMAt mollusc-revised
